All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS07755	USA300HOU_RS07770 // USA300HOU_RS07765 // USA300HOU_RS07760 // USA300HOU_RS07755 // USA300HOU_RS07750	USA300HOU_RS07755	1582021	1582794
USA300HOU_RS07760	USA300HOU_RS07770 // USA300HOU_RS07765 // USA300HOU_RS07760 // USA300HOU_RS07755 // USA300HOU_RS07750	USA300HOU_RS07760	1582778	1584016
USA300HOU_RS07765	USA300HOU_RS07770 // USA300HOU_RS07765 // USA300HOU_RS07760 // USA300HOU_RS07755 // USA300HOU_RS07750	USA300HOU_RS07765	1584021	1585712
USA300HOU_RS07770	USA300HOU_RS07770 // USA300HOU_RS07765 // USA300HOU_RS07760 // USA300HOU_RS07755 // USA300HOU_RS07750	USA300HOU_RS07770	1585702	1586007
USA300HOU_RS07775	USA300HOU_RS07775	USA300HOU_RS07775	1586134	1586448
USA300HOU_RS07780	USA300HOU_RS07790 // USA300HOU_RS07785 // USA300HOU_RS07780	USA300HOU_RS07780	1586605	1587042
USA300HOU_RS07785	USA300HOU_RS07790 // USA300HOU_RS07785 // USA300HOU_RS07780	USA300HOU_RS07785	1587055	1588422
USA300HOU_RS07790	USA300HOU_RS07790 // USA300HOU_RS07785 // USA300HOU_RS07780	USA300HOU_RS07790	1588403	1588693
USA300HOU_RS07795	USA300HOU_RS07795	USA300HOU_RS07795	1588827	1588925
USA300HOU_RS07800	USA300HOU_RS07800	USA300HOU_RS07800	1589034	1591481
USA300HOU_RS07805	USA300HOU_RS07805	USA300HOU_RS07805	1591769	1591969
USA300HOU_RS07810	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07810	1592037	1592189
USA300HOU_RS07815	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07815	1592186	1592572
USA300HOU_RS07820	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07820	1592565	1592801
USA300HOU_RS07825	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07825	1592794	1592997
USA300HOU_RS07830	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07830	1592994	1593200
USA300HOU_RS07835	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07835	1593237	1593773
USA300HOU_RS07840	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07840	1593766	1594014
USA300HOU_RS07845	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07845	1594029	1594271
USA300HOU_RS07850	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07850	1594286	1594486
USA300HOU_RS07855	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07855	1594489	1594746
USA300HOU_RS07860	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07860	1594746	1595147
USA300HOU_RS07865	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07865	1595147	1595332
USA300HOU_RS07870	USA300HOU_RS07870 // USA300HOU_RS07865 // USA300HOU_RS07860 // USA300HOU_RS07855 // USA300HOU_RS07850 // USA300HOU_RS07845 // USA300HOU_RS07840 // USA300HOU_RS07835 // USA300HOU_RS07830 // USA300HOU_RS07825 // USA300HOU_RS07820 // USA300HOU_RS07815 // USA300HOU_RS07810	USA300HOU_RS07870	1595345	1597297
USA300HOU_RS07875	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07875	1597365	1597922
USA300HOU_RS07880	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07880	1597948	1599114
USA300HOU_RS07885	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07885	1599111	1599473
USA300HOU_RS07890	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07890	1599487	1599771
USA300HOU_RS07895	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07895	1599752	1600054
USA300HOU_RS07900	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	USA300HOU_RS07900	1600047	1600364
USA300HOU_RS07905	USA300HOU_RS07915 // USA300HOU_RS07910 // USA300HOU_RS07905	USA300HOU_RS07905	1600457	1600618
USA300HOU_RS07910	USA300HOU_RS07915 // USA300HOU_RS07910 // USA300HOU_RS07905	USA300HOU_RS07910	1600630	1600893
USA300HOU_RS07915	USA300HOU_RS07915 // USA300HOU_RS07910 // USA300HOU_RS07905	USA300HOU_RS07915	1600918	1601133
USA300HOU_RS07920	USA300HOU_RS07920	USA300HOU_RS07920	1601201	1601419
USA300HOU_RS07925	USA300HOU_RS07925	USA300HOU_RS07925	1601676	1601867
USA300HOU_RS07930	USA300HOU_RS07945 // USA300HOU_RS07940 // USA300HOU_RS07935 // USA300HOU_RS07930	USA300HOU_RS07930	1602028	1602357
USA300HOU_RS07935	USA300HOU_RS07945 // USA300HOU_RS07940 // USA300HOU_RS07935 // USA300HOU_RS07930	USA300HOU_RS07935	1602370	1602831
USA300HOU_RS07940	USA300HOU_RS07945 // USA300HOU_RS07940 // USA300HOU_RS07935 // USA300HOU_RS07930	USA300HOU_RS07940	1602849	1603283
USA300HOU_RS07945	USA300HOU_RS07945 // USA300HOU_RS07940 // USA300HOU_RS07935 // USA300HOU_RS07930	USA300HOU_RS07945	1603312	1603707
USA300HOU_RS07950	USA300HOU_RS07950	USA300HOU_RS07950	1603797	1603943
USA300HOU_RS07955	USA300HOU_RS07955	USA300HOU_RS07955	1603940	1604554
USA300HOU_RS07960	USA300HOU_RS07960	USA300HOU_RS07960	1604680	1605885
USA300HOU_RS07970	USA300HOU_RS07970 // USA300HOU_RS15325 // USA300HOU_RS15320	USA300HOU_RS07970	1607947	1608876
USA300HOU_RS07975	USA300HOU_RS07980 // USA300HOU_RS07975	USA300HOU_RS07975	1609121	1610872
USA300HOU_RS07980	USA300HOU_RS07980 // USA300HOU_RS07975	USA300HOU_RS07980	1610853	1611578
USA300HOU_RS07985	USA300HOU_RS07995 // USA300HOU_RS07990 // USA300HOU_RS07985	USA300HOU_RS07985	1611711	1612448
USA300HOU_RS07990	USA300HOU_RS07995 // USA300HOU_RS07990 // USA300HOU_RS07985	USA300HOU_RS07990	1612441	1612983
USA300HOU_RS07995	USA300HOU_RS07995 // USA300HOU_RS07990 // USA300HOU_RS07985	USA300HOU_RS07995	1612976	1613707
USA300HOU_RS08000	USA300HOU_RS08000	USA300HOU_RS08000	1613799	1614305
USA300HOU_RS08005	USA300HOU_RS08005	USA300HOU_RS08005	1614383	1615270
USA300HOU_RS08010	USA300HOU_RS08010	USA300HOU_RS08010	1615319	1615768
USA300HOU_RS08015	USA300HOU_RS08015	USA300HOU_RS08015	1615873	1616415
USA300HOU_RS08020	USA300HOU_RS08020	USA300HOU_RS08020	1616497	1617405
USA300HOU_RS08025	USA300HOU_RS08030 // USA300HOU_RS08025	USA300HOU_RS08025	1617621	1617869
USA300HOU_RS08030	USA300HOU_RS08030 // USA300HOU_RS08025	USA300HOU_RS08030	1617885	1618640
USA300HOU_RS08035	USA300HOU_RS08035	USA300HOU_RS08035	1618782	1619597
USA300HOU_RS08040	USA300HOU_RS08040	USA300HOU_RS08040	1619702	1620622
USA300HOU_RS08045	USA300HOU_RS08045	USA300HOU_RS08045	1620935	1622419
USA300HOU_RS08050	USA300HOU_RS08050	USA300HOU_RS08050	1622622	1623515
USA300HOU_RS08055	USA300HOU_RS08070 // USA300HOU_RS08065 // USA300HOU_RS08060 // USA300HOU_RS08055	USA300HOU_RS08055	1623598	1625247
USA300HOU_RS08060	USA300HOU_RS08070 // USA300HOU_RS08065 // USA300HOU_RS08060 // USA300HOU_RS08055	USA300HOU_RS08060	1625263	1626282
USA300HOU_RS08065	USA300HOU_RS08070 // USA300HOU_RS08065 // USA300HOU_RS08060 // USA300HOU_RS08055	USA300HOU_RS08065	1626283	1626537
USA300HOU_RS08070	USA300HOU_RS08070 // USA300HOU_RS08065 // USA300HOU_RS08060 // USA300HOU_RS08055	USA300HOU_RS08070	1626476	1626847
USA300HOU_RS08075	USA300HOU_RS08075	USA300HOU_RS08075	1627066	1628472
USA300HOU_RS08080	USA300HOU_RS08080	USA300HOU_RS08080	1628540	1629673
USA300HOU_RS08085	USA300HOU_RS08085	USA300HOU_RS08085	1629936	1630115
USA300HOU_RS08090	USA300HOU_RS08095 // USA300HOU_RS08090	USA300HOU_RS08090	1630242	1631222
USA300HOU_RS08095	USA300HOU_RS08095 // USA300HOU_RS08090	USA300HOU_RS08095	1631236	1631673
USA300HOU_RS08100	USA300HOU_RS08115 // USA300HOU_RS08110 // USA300HOU_RS08105 // USA300HOU_RS08100	USA300HOU_RS08100	1632024	1633298
USA300HOU_RS08105	USA300HOU_RS08115 // USA300HOU_RS08110 // USA300HOU_RS08105 // USA300HOU_RS08100	USA300HOU_RS08105	1633311	1634294
USA300HOU_RS08110	USA300HOU_RS08115 // USA300HOU_RS08110 // USA300HOU_RS08105 // USA300HOU_RS08100	USA300HOU_RS08110	1634294	1635286
USA300HOU_RS08115	USA300HOU_RS08115 // USA300HOU_RS08110 // USA300HOU_RS08105 // USA300HOU_RS08100	USA300HOU_RS08115	1635302	1636723
USA300HOU_RS08120	USA300HOU_RS08125 // USA300HOU_RS08120	USA300HOU_RS08120	1636874	1638553
USA300HOU_RS08125	USA300HOU_RS08125 // USA300HOU_RS08120	USA300HOU_RS08125	1638569	1639021
USA300HOU_RS08130	USA300HOU_RS08130	USA300HOU_RS08130	1639453	1640334
USA300HOU_RS08135	USA300HOU_RS08145 // USA300HOU_RS08140 // USA300HOU_RS08135	USA300HOU_RS08135	1640312	1640542
USA300HOU_RS08140	USA300HOU_RS08145 // USA300HOU_RS08140 // USA300HOU_RS08135	USA300HOU_RS08140	1640535	1641872
USA300HOU_RS08145	USA300HOU_RS08145 // USA300HOU_RS08140 // USA300HOU_RS08135	USA300HOU_RS08145	1641889	1642278
USA300HOU_RS08150	USA300HOU_RS08160 // USA300HOU_RS08155 // USA300HOU_RS08150	USA300HOU_RS08150	1642338	1642700
USA300HOU_RS08155	USA300HOU_RS08160 // USA300HOU_RS08155 // USA300HOU_RS08150	USA300HOU_RS08155	1642715	1644070
USA300HOU_RS08160	USA300HOU_RS08160 // USA300HOU_RS08155 // USA300HOU_RS08150	USA300HOU_RS08160	1644070	1644534
USA300HOU_RS08165	USA300HOU_RS08170 // USA300HOU_RS08165	USA300HOU_RS08165	1645008	1645565
USA300HOU_RS08170	USA300HOU_RS08170 // USA300HOU_RS08165	USA300HOU_RS08170	1645591	1646652
USA300HOU_RS08175	USA300HOU_RS08180 // USA300HOU_RS08175	USA300HOU_RS08175	1646757	1647338
USA300HOU_RS08180	USA300HOU_RS08180 // USA300HOU_RS08175	USA300HOU_RS08180	1647352	1647570
USA300HOU_RS08185	USA300HOU_RS08185	USA300HOU_RS08185	1647634	1648464
USA300HOU_RS08190	USA300HOU_RS08190	USA300HOU_RS08190	1648622	1649008
USA300HOU_RS08195	USA300HOU_RS08205 // USA300HOU_RS08200 // USA300HOU_RS08195	USA300HOU_RS08195	1649373	1650845
USA300HOU_RS08200	USA300HOU_RS08205 // USA300HOU_RS08200 // USA300HOU_RS08195	USA300HOU_RS08200	1650838	1652184
USA300HOU_RS08205	USA300HOU_RS08205 // USA300HOU_RS08200 // USA300HOU_RS08195	USA300HOU_RS08205	1652204	1653295
USA300HOU_RS08210	USA300HOU_RS08215 // USA300HOU_RS08210	USA300HOU_RS08210	1653454	1653978
USA300HOU_RS08215	USA300HOU_RS08215 // USA300HOU_RS08210	USA300HOU_RS08215	1653968	1654114
USA300HOU_RS08220	USA300HOU_RS08220	USA300HOU_RS08220	1654211	1654708
USA300HOU_RS08225	USA300HOU_RS08230 // USA300HOU_RS08225	USA300HOU_RS08225	1654626	1654946
USA300HOU_RS08230	USA300HOU_RS08230 // USA300HOU_RS08225	USA300HOU_RS08230	1654912	1655358
USA300HOU_RS08235	USA300HOU_RS08240 // USA300HOU_RS08235	USA300HOU_RS08235	1655336	1655647
USA300HOU_RS08240	USA300HOU_RS08240 // USA300HOU_RS08235	USA300HOU_RS08240	1655661	1656731
USA300HOU_RS08245	USA300HOU_RS08245	USA300HOU_RS08245	1656703	1657677
USA300HOU_RS08250	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08250	1657729	1658352
USA300HOU_RS08255	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08255	1658349	1658678
USA300HOU_RS08260	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08260	1658678	1659664
USA300HOU_RS08265	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08265	1659661	1659864
USA300HOU_RS08270	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08270	1659845	1661308
USA300HOU_RS08275	USA300HOU_RS08275 // USA300HOU_RS08270 // USA300HOU_RS08265 // USA300HOU_RS08260 // USA300HOU_RS08255 // USA300HOU_RS08250	USA300HOU_RS08275	1661320	1661859
USA300HOU_RS08280	USA300HOU_RS08280	USA300HOU_RS08280	1662068	1662217
USA300HOU_RS08285	USA300HOU_RS08285	USA300HOU_RS08285	1662330	1664405
USA300HOU_RS08290	USA300HOU_RS08290	USA300HOU_RS08290	1664526	1665125
USA300HOU_RS08295	USA300HOU_RS08300 // USA300HOU_RS08295	USA300HOU_RS08295	1665402	1665812
USA300HOU_RS08300	USA300HOU_RS08300 // USA300HOU_RS08295	USA300HOU_RS08300	1665799	1666662
USA300HOU_RS08305	USA300HOU_RS08305	USA300HOU_RS08305	1666704	1667489
USA300HOU_RS08310	USA300HOU_RS08315 // USA300HOU_RS08310	USA300HOU_RS08310	1667615	1668505
USA300HOU_RS08315	USA300HOU_RS08315 // USA300HOU_RS08310	USA300HOU_RS08315	1668515	1669861
USA300HOU_RS08320	USA300HOU_RS08325 // USA300HOU_RS08320	USA300HOU_RS08320	1669975	1671075
USA300HOU_RS08325	USA300HOU_RS08325 // USA300HOU_RS08320	USA300HOU_RS08325	1671078	1671755
USA300HOU_RS08330	USA300HOU_RS08330	USA300HOU_RS08330	1671886	1672992
USA300HOU_RS08335	USA300HOU_RS08335	USA300HOU_RS08335	1673216	1675015
USA300HOU_RS08340	USA300HOU_RS08345 // USA300HOU_RS08340	USA300HOU_RS08340	1675076	1675894
USA300HOU_RS08345	USA300HOU_RS08345 // USA300HOU_RS08340	USA300HOU_RS08345	1675905	1676528
USA300HOU_RS08350	USA300HOU_RS08350	USA300HOU_RS08350	1676863	1678254
USA300HOU_RS08355	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08355	1678404	1679150
USA300HOU_RS08360	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08360	1679178	1680077
USA300HOU_RS08365	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08365	1680078	1680482
USA300HOU_RS08370	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08370	1680493	1680837
USA300HOU_RS08375	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08375	1680840	1681307
USA300HOU_RS08380	USA300HOU_RS08380 // USA300HOU_RS08375 // USA300HOU_RS08370 // USA300HOU_RS08365 // USA300HOU_RS08360 // USA300HOU_RS08355	USA300HOU_RS08380	1681308	1682255
USA300HOU_RS08385	USA300HOU_RS08395 // USA300HOU_RS08390 // USA300HOU_RS08385	USA300HOU_RS08385	1682559	1683257
USA300HOU_RS08390	USA300HOU_RS08395 // USA300HOU_RS08390 // USA300HOU_RS08385	USA300HOU_RS08390	1683274	1684263
USA300HOU_RS08395	USA300HOU_RS08395 // USA300HOU_RS08390 // USA300HOU_RS08385	USA300HOU_RS08395	1684281	1684964
USA300HOU_RS08400	USA300HOU_RS08400	USA300HOU_RS08400	1685208	1685384
USA300HOU_RS08405	USA300HOU_RS08420 // USA300HOU_RS08415 // USA300HOU_RS08410 // USA300HOU_RS08405	USA300HOU_RS08405	1685677	1687023
USA300HOU_RS08410	USA300HOU_RS08420 // USA300HOU_RS08415 // USA300HOU_RS08410 // USA300HOU_RS08405	USA300HOU_RS08410	1687030	1687782
USA300HOU_RS08415	USA300HOU_RS08420 // USA300HOU_RS08415 // USA300HOU_RS08410 // USA300HOU_RS08405	USA300HOU_RS08415	1687784	1688722
USA300HOU_RS08420	USA300HOU_RS08420 // USA300HOU_RS08415 // USA300HOU_RS08410 // USA300HOU_RS08405	USA300HOU_RS08420	1688726	1689865
USA300HOU_RS08425	USA300HOU_RS08425	USA300HOU_RS08425	1690001	1691833
USA300HOU_RS08430	USA300HOU_RS08435 // USA300HOU_RS08430	USA300HOU_RS08430	1691902	1692528
USA300HOU_RS08435	USA300HOU_RS08435 // USA300HOU_RS08430	USA300HOU_RS08435	1692560	1693537
USA300HOU_RS08440	USA300HOU_RS08440	USA300HOU_RS08440	1693637	1694761
USA300HOU_RS08450	USA300HOU_RS08450	USA300HOU_RS08450	1695324	1697147
USA300HOU_RS08455	USA300HOU_RS08455	USA300HOU_RS08455	1697493	1697744
USA300HOU_RS08460	USA300HOU_RS08460	USA300HOU_RS08460	1697789	1698763
USA300HOU_RS08465	USA300HOU_RS08465	USA300HOU_RS08465	1698820	1700967
USA300HOU_RS08470	USA300HOU_RS08470	USA300HOU_RS08470	1701026	1701487
USA300HOU_RS08475	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08475	1701579	1702265
USA300HOU_RS08480	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08480	1702305	1703021
USA300HOU_RS08485	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08485	1703024	1703377
USA300HOU_RS08490	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08490	1703378	1703962
USA300HOU_RS08495	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08495	1703952	1704521
USA300HOU_RS08500	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08500	1704524	1704814
USA300HOU_RS08505	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08505	1704818	1705624
USA300HOU_RS08510	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08510	1705638	1706738
USA300HOU_RS08515	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08515	1706739	1707266
USA300HOU_RS08520	USA300HOU_RS08520 // USA300HOU_RS08515 // USA300HOU_RS08510 // USA300HOU_RS08505 // USA300HOU_RS08500 // USA300HOU_RS08495 // USA300HOU_RS08490 // USA300HOU_RS08485 // USA300HOU_RS08480 // USA300HOU_RS08475	USA300HOU_RS08520	1707286	1707972
USA300HOU_RS08530	USA300HOU_RS08530	USA300HOU_RS08530	1708286	1708555
USA300HOU_RS08535	USA300HOU_RS08535	USA300HOU_RS08535	1708757	1709461
USA300HOU_RS08540	USA300HOU_RS08540	USA300HOU_RS08540	1709923	1711143
USA300HOU_RS08545	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08545	1711432	1712661
USA300HOU_RS08550	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08550	1712674	1713426
USA300HOU_RS08555	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08555	1713426	1714787
USA300HOU_RS08560	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08560	1714801	1715250
USA300HOU_RS08565	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08565	1715252	1716262
USA300HOU_RS08570	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	USA300HOU_RS08570	1716252	1716986
USA300HOU_RS08575	USA300HOU_RS08595 // USA300HOU_RS08590 // USA300HOU_RS08585 // USA300HOU_RS08580 // USA300HOU_RS08575	USA300HOU_RS08575	1717312	1717788
USA300HOU_RS08580	USA300HOU_RS08595 // USA300HOU_RS08590 // USA300HOU_RS08585 // USA300HOU_RS08580 // USA300HOU_RS08575	USA300HOU_RS08580	1717816	1718439
USA300HOU_RS08585	USA300HOU_RS08595 // USA300HOU_RS08590 // USA300HOU_RS08585 // USA300HOU_RS08580 // USA300HOU_RS08575	USA300HOU_RS08585	1718439	1719707
