locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
USA300HOU_RS07610,USA300HOU_RS07610,NC_010079.1,USA300HOU_1423,1555410,1555955,-,ECF transporter S component,"Intracellular trafficking, secretion, and vesicular transport",A0A0H2WWS7,Op944
USA300HOU_RS07615,USA300HOU_RS07615,NC_010079.1,USA300HOU_1424,1556234,1556353,-,hypothetical protein,No COG annotation,A0A0H2X3H7,Op945
USA300HOU_RS07620,USA300HOU_RS07620,NC_010079.1,USA300HOU_1425,1556552,1557466,-,DUF1672 domain-containing protein,Function unknown,A0A0H2WWE2,Op946
USA300HOU_RS07625,USA300HOU_RS07625,NC_010079.1,USA300HOU_1426,1557481,1557687,-,hypothetical protein,No COG annotation,A0A0D6HLJ0,Op946
USA300HOU_RS07630,USA300HOU_RS07630,NC_010079.1,USA300HOU_1427,1557680,1558618,-,DUF1672 domain-containing protein,Function unknown,A0A0H2WW30,Op946
USA300HOU_RS07635,USA300HOU_RS07635,NC_010079.1,USA300HOU_1428,1558675,1559592,-,DUF1672 domain-containing protein,Function unknown,A0A0D6HLH7,Op947
USA300HOU_RS07640,USA300HOU_RS07640,NC_010079.1,USA300HOU_1429,1559683,1559934,-,hypothetical protein,No COG annotation,A0A1S5ZTU4,Op948
USA300HOU_RS07645,lukF-PV,NC_010079.1,USA300HOU_1430,1560117,1561100,-,Panton-Valentine bi-component leukocidin subunit F,Function unknown,A0A1S5YLW8,Op949
USA300HOU_RS07650,lukS-PV,NC_010079.1,USA300HOU_1431,1561096,1562034,-,Panton-Valentine bi-component leukocidin subunit S,Function unknown,A0A0H2XI46,Op949
USA300HOU_RS07655,USA300HOU_RS07655,NC_010079.1,USA300HOU_1432,1562424,1563878,-,CHAP domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0H2XDT4,Op950
USA300HOU_RS07660,USA300HOU_RS07660,NC_010079.1,USA300HOU_1433,1563889,1564191,-,phage holin,Function unknown,A0A0H2X0E3,Op950
USA300HOU_RS07665,USA300HOU_RS07665,NC_010079.1,USA300HOU_1434,1564327,1564626,-,DUF2951 domain-containing protein,Function unknown,A0A0E1X9B6,Op951
USA300HOU_RS07670,USA300HOU_RS07670,NC_010079.1,,1564672,1564836,-,XkdX family protein,No COG annotation,A0A084P0X8,Op952
USA300HOU_RS07675,USA300HOU_RS07675,NC_010079.1,USA300HOU_1435,1564829,1565218,-,DUF2977 domain-containing protein,No COG annotation,A0A0E1X595,Op952
USA300HOU_RS07680,USA300HOU_RS07680,NC_010079.1,USA300HOU_1436,1565218,1566684,-,phage baseplate upper protein,No COG annotation,A0A0E8HCV3,Op952
USA300HOU_RS07685,USA300HOU_RS07685,NC_010079.1,USA300HOU_1437,1566684,1568594,-,minor structural protein,No COG annotation,A0A0E1X5C7,Op952
USA300HOU_RS07690,USA300HOU_RS07690,NC_010079.1,USA300HOU_1438,1568610,1568900,-,hypothetical protein,No COG annotation,A0A0D6WDT5,Op952
USA300HOU_RS07695,USA300HOU_RS07695,NC_010079.1,USA300HOU_1439,1568900,1570483,-,peptidase,Function unknown,A0A0D1JPR4,Op952
USA300HOU_RS07700,USA300HOU_RS07700,NC_010079.1,USA300HOU_1440,1570492,1571316,-,phage tail family protein,Function unknown,A0A0E1X590,Op952
USA300HOU_RS07705,USA300HOU_RS07705,NC_010079.1,USA300HOU_1441,1571316,1577516,-,phage tail tape measure protein,Function unknown,A0A0H2XJU0,Op952
USA300HOU_RS07710,USA300HOU_RS07710,NC_010079.1,USA300HOU_1442,1577530,1577688,-,hypothetical protein,No COG annotation,A0A0D1J3V9,Op952
USA300HOU_RS07715,USA300HOU_RS07715,NC_010079.1,USA300HOU_1443,1577730,1578080,-,hypothetical protein,No COG annotation,A0A0E1XFS2,Op953
USA300HOU_RS07720,USA300HOU_RS07720,NC_010079.1,USA300HOU_1444,1578138,1578593,-,Ig domain-containing protein,Function unknown,A0A0E1X7M6,Op954
USA300HOU_RS07725,USA300HOU_RS07725,NC_010079.1,USA300HOU_1445,1578685,1579326,-,tail protein,Function unknown,A0A0E1X586,Op955
USA300HOU_RS07730,USA300HOU_RS07730,NC_010079.1,USA300HOU_1446,1579361,1579756,-,DUF3168 domain-containing protein,No COG annotation,A0A0E1X737,Op955
USA300HOU_RS07735,USA300HOU_RS07735,NC_010079.1,USA300HOU_1447,1579757,1580158,-,hypothetical protein,No COG annotation,A0A0E1X5B8,Op955
USA300HOU_RS07740,USA300HOU_RS07740,NC_010079.1,USA300HOU_1448,1580155,1580487,-,hypothetical protein,No COG annotation,A0A0H2WXR6,Op955
USA300HOU_RS07745,USA300HOU_RS07745,NC_010079.1,USA300HOU_1449,1580499,1580777,-,phage gp6-like head-tail connector protein,No COG annotation,A0A0E1X7M1,Op955
USA300HOU_RS07750,USA300HOU_RS07750,NC_010079.1,USA300HOU_1450,1580846,1582009,-,phage major capsid protein,Function unknown,A0A0H2WYQ4,Op956
USA300HOU_RS07755,USA300HOU_RS07755,NC_010079.1,USA300HOU_1451,1582021,1582794,-,Clp protease ClpP,Function unknown,A0A0E1X733,Op956
USA300HOU_RS07760,USA300HOU_RS07760,NC_010079.1,USA300HOU_1452,1582778,1584016,-,phage portal protein,Function unknown,A0A0H2XFY3,Op956
USA300HOU_RS07765,USA300HOU_RS07765,NC_010079.1,USA300HOU_1453,1584021,1585712,-,terminase large subunit,Function unknown,A0A0H2XK51,Op956
USA300HOU_RS07770,USA300HOU_RS07770,NC_010079.1,USA300HOU_1454,1585702,1586007,-,terminase,Function unknown,A0A0D1JJ49,Op956
USA300HOU_RS07775,USA300HOU_RS07775,NC_010079.1,,1586134,1586448,-,HNH endonuclease,Function unknown,A0A0H2XGX0,Op957
USA300HOU_RS07780,USA300HOU_RS07780,NC_010079.1,USA300HOU_1455,1586605,1587042,-,transcriptional regulator,Function unknown,A0A0E8GJ12,Op958
USA300HOU_RS07785,USA300HOU_RS07785,NC_010079.1,USA300HOU_1456,1587055,1588422,-,DEAD/DEAH box helicase,Function unknown,A0A5C0VTT4,Op958
USA300HOU_RS07790,USA300HOU_RS07790,NC_010079.1,USA300HOU_1457,1588403,1588693,-,VRR-NUC domain-containing protein,Function unknown,A0A0H2XJG7,Op958
USA300HOU_RS07795,USA300HOU_RS07795,NC_010079.1,,1588827,1588925,+,hypothetical protein,No COG annotation,A0A5C8X2T8,Op959
USA300HOU_RS07800,USA300HOU_RS07800,NC_010079.1,USA300HOU_1459,1589034,1591481,-,hypothetical protein,Function unknown,A0A0H2XII2,Op960
USA300HOU_RS07805,USA300HOU_RS07805,NC_010079.1,USA300HOU_1460,1591769,1591969,-,DUF1514 family protein,No COG annotation,A0A0H2XFK4,Op961
USA300HOU_RS07810,USA300HOU_RS07810,NC_010079.1,USA300HOU_1461,1592037,1592189,-,transcriptional activator RinB,Function unknown,A0A0H2XFF4,Op962
USA300HOU_RS07815,USA300HOU_RS07815,NC_010079.1,USA300HOU_1462,1592186,1592572,-,hypothetical protein,No COG annotation,A0A0H2XF48,Op962
USA300HOU_RS07820,USA300HOU_RS07820,NC_010079.1,USA300HOU_1463,1592565,1592801,-,hypothetical protein,No COG annotation,A0A0H2XFM3,Op962
USA300HOU_RS07825,USA300HOU_RS07825,NC_010079.1,USA300HOU_1464,1592794,1592997,-,hypothetical protein,No COG annotation,A0A0H2XIN5,Op962
USA300HOU_RS07830,USA300HOU_RS07830,NC_010079.1,USA300HOU_1465,1592994,1593200,-,DUF1381 domain-containing protein,Function unknown,A0A0H2XJ19,Op962
USA300HOU_RS07835,USA300HOU_RS07835,NC_010079.1,USA300HOU_1466,1593237,1593773,-,hypothetical protein,Function unknown,A0A0H2XGB9,Op962
USA300HOU_RS07840,USA300HOU_RS07840,NC_010079.1,USA300HOU_1467,1593766,1594014,-,DUF1024 family protein,Function unknown,A0A0H2XE38,Op962
USA300HOU_RS07845,USA300HOU_RS07845,NC_010079.1,USA300HOU_1468,1594029,1594271,-,hypothetical protein,Function unknown,A0A0E8GHB4,Op962
USA300HOU_RS07850,USA300HOU_RS07850,NC_010079.1,USA300HOU_1469,1594286,1594486,-,hypothetical protein,No COG annotation,A0A0E1XFP8,Op962
USA300HOU_RS07855,USA300HOU_RS07855,NC_010079.1,USA300HOU_1470,1594489,1594746,-,DUF3310 domain-containing protein,Function unknown,A0A0E8HDD8,Op962
USA300HOU_RS07860,USA300HOU_RS07860,NC_010079.1,USA300HOU_1471,1594746,1595147,-,PVL family protein,Function unknown,A0A0E8GLR9,Op962
USA300HOU_RS07865,USA300HOU_RS07865,NC_010079.1,USA300HOU_1472,1595147,1595332,-,DUF3113 family protein,Function unknown,A0A0D1I4R9,Op962
USA300HOU_RS07870,USA300HOU_RS07870,NC_010079.1,USA300HOU_1473,1595345,1597297,-,DNA polymerase,Function unknown,A0A0H2XHF4,Op962
USA300HOU_RS07875,USA300HOU_RS07875,NC_010079.1,USA300HOU_1474,1597365,1597922,-,DUF2815 family protein,Function unknown,A0A068A8V3,Op963
USA300HOU_RS07880,USA300HOU_RS07880,NC_010079.1,USA300HOU_1475,1597948,1599114,-,DUF2800 domain-containing protein,Function unknown,A0A0E8GJA3,Op963
USA300HOU_RS07885,USA300HOU_RS07885,NC_010079.1,USA300HOU_1476,1599111,1599473,-,hypothetical protein,No COG annotation,A0A0E8GD94,Op963
USA300HOU_RS07890,USA300HOU_RS07890,NC_010079.1,USA300HOU_1477,1599487,1599747,-,DUF1108 family protein,Function unknown,A0A0H2XIL7,Op963
USA300HOU_RS07895,USA300HOU_RS07895,NC_010079.1,USA300HOU_1478,1599752,1600054,-,DUF2482 family protein,No COG annotation,A0A1S6CPF8,Op963
USA300HOU_RS07900,USA300HOU_RS07900,NC_010079.1,USA300HOU_1479,1600047,1600364,-,hypothetical protein,No COG annotation,A0A0H2XEB9,Op963
USA300HOU_RS07905,USA300HOU_RS07905,NC_010079.1,,1600457,1600618,-,DUF1270 domain-containing protein,No COG annotation,,Op964
USA300HOU_RS07910,USA300HOU_RS07910,NC_010079.1,USA300HOU_1481,1600630,1600893,-,helix-turn-helix domain-containing protein,No COG annotation,A0A068A7U2,Op964
USA300HOU_RS07915,USA300HOU_RS07915,NC_010079.1,USA300HOU_1482,1600918,1601133,-,hypothetical protein,No COG annotation,A0A0E8HEL9,Op964
USA300HOU_RS07920,USA300HOU_RS07920,NC_010079.1,USA300HOU_1483,1601180,1601419,+,hypothetical protein,No COG annotation,UPI00003B1A92,Op965
USA300HOU_RS15895,USA300HOU_RS15895,NC_010079.1,USA300HOU_1484,1601416,1601592,-,hypothetical protein,No COG annotation,UPI00003B1A91,Op966
USA300HOU_RS07925,USA300HOU_RS07925,NC_010079.1,USA300HOU_1485,1601676,1601867,-,helix-turn-helix transcriptional regulator,No COG annotation,A0A068A5Q8,Op967
USA300HOU_RS07930,USA300HOU_RS07930,NC_010079.1,USA300HOU_1486,1602028,1602357,+,helix-turn-helix transcriptional regulator,Transcription,A0A068A8V7,Op968
USA300HOU_RS07935,USA300HOU_RS07935,NC_010079.1,USA300HOU_1487,1602370,1602831,+,hypothetical protein,Amino acid transport and metabolism,A0A0H2XI30,Op968
USA300HOU_RS07940,USA300HOU_RS07940,NC_010079.1,USA300HOU_1488,1602849,1603283,+,hypothetical protein,No COG annotation,A0A0H2XG92,Op968
USA300HOU_RS07945,USA300HOU_RS07945,NC_010079.1,,1603312,1603707,+,hypothetical protein,No COG annotation,A0A068A5G9,Op968
USA300HOU_RS07950,USA300HOU_RS07950,NC_010079.1,,1603797,1603943,+,hypothetical protein,No COG annotation,A0A5A8UEG9,Op969
USA300HOU_RS07955,USA300HOU_RS07955,NC_010079.1,USA300HOU_1489,1603940,1604554,-,hypothetical protein,No COG annotation,A0A0H2XFR5,Op970
USA300HOU_RS07960,USA300HOU_RS07960,NC_010079.1,USA300HOU_1490,1604680,1605885,+,site-specific integrase,Function unknown,A0A0D1JZT2,Op971
USA300HOU_RS15320,USA300HOU_RS15320,NC_010079.1,,1605928,1607082,-,hypothetical protein,Function unknown,A0A5C0W2B4,Op972
USA300HOU_RS15325,USA300HOU_RS15325,NC_010079.1,,1607109,1607954,-,hypothetical protein,Function unknown,A0A5A4UKE2,Op972
USA300HOU_RS07970,USA300HOU_RS07970,NC_010079.1,USA300HOU_1492,1607947,1608876,-,DUF1672 domain-containing protein,Function unknown,A0A0D3Q7K8,Op972
USA300HOU_RS07975,USA300HOU_RS07975,NC_010079.1,USA300HOU_1493,1609121,1610872,-,HAMP domain-containing protein,Signal transduction mechanisms,A0A068A3K4,Op973
USA300HOU_RS07980,USA300HOU_RS07980,NC_010079.1,USA300HOU_1494,1610853,1611578,-,response regulator transcription factor,Signal transduction mechanisms,A0A0E1XFL8,Op973
USA300HOU_RS07985,USA300HOU_RS07985,NC_010079.1,USA300HOU_1495,1611711,1612448,-,rRNA pseudouridine synthase,"Translation, ribosomal structure and biogenesis",A0A0D1IAK8,Op974
USA300HOU_RS07990,scpB,NC_010079.1,,1612441,1612983,-,SMC-Scp complex subunit ScpB,"Cell cycle control, cell division, chromosome partitioning",A0A0D6HLE6,Op974
USA300HOU_RS07995,USA300HOU_RS07995,NC_010079.1,USA300HOU_1496,1612976,1613707,-,segregation/condensation protein A,"Cell cycle control, cell division, chromosome partitioning",A0A0D1H6C4,Op974
USA300HOU_RS08000,USA300HOU_RS08000,NC_010079.1,USA300HOU_1497,1613799,1614305,+,DUF309 domain-containing protein,Function unknown,A0A0H2WW35,Op975
USA300HOU_RS08005,xerD,NC_010079.1,USA300HOU_1498,1614383,1615270,-,site-specific tyrosine recombinase XerD,"Cell cycle control, cell division, chromosome partitioning",A0A0E1XFL4,Op976
USA300HOU_RS08010,USA300HOU_RS08010,NC_010079.1,USA300HOU_1499,1615319,1615768,-,transcriptional repressor,Inorganic ion transport and metabolism,A0A0E0VQW6,Op977
USA300HOU_RS08015,USA300HOU_RS08015,NC_010079.1,USA300HOU_1500,1615873,1616415,-,NUDIX hydrolase,"Replication, recombination and repair",A0A0E1VH93,Op978
USA300HOU_RS08020,USA300HOU_RS08020,NC_010079.1,USA300HOU_1501,1616497,1617405,+,aldo/keto reductase,Energy production and conversion,A0A0D6HM65,Op979
USA300HOU_RS08025,USA300HOU_RS08025,NC_010079.1,USA300HOU_1502,1617621,1617869,-,hypothetical protein,No COG annotation,A0A0D6WF16,Op980
USA300HOU_RS08030,USA300HOU_RS08030,NC_010079.1,USA300HOU_1503,1617885,1618640,-,SDR family oxidoreductase,Function unknown,A0A0D6HM53,Op980
USA300HOU_RS08035,proC,NC_010079.1,USA300HOU_1504,1618782,1619597,+,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,A0A0E1X7F7,Op981
USA300HOU_RS08040,rnz,NC_010079.1,USA300HOU_1505,1619702,1620622,-,ribonuclease Z,"Translation, ribosomal structure and biogenesis",A0A0D6HL69,Op982
USA300HOU_RS08045,USA300HOU_RS08045,NC_010079.1,USA300HOU_1507,1620935,1622419,+,glucose-6-phosphate dehydrogenase,Carbohydrate transport and metabolism,A0A0D1FJV3,Op983
USA300HOU_RS08050,USA300HOU_RS08050,NC_010079.1,USA300HOU_1508,1622622,1623515,+,AraC family transcriptional regulator,Transcription,A0A0D1JL85,Op984
USA300HOU_RS08055,USA300HOU_RS08055,NC_010079.1,USA300HOU_1509,1623598,1625247,-,alpha-glucosidase,Carbohydrate transport and metabolism,A0A0D6HJV9,Op985
USA300HOU_RS08060,USA300HOU_RS08060,NC_010079.1,USA300HOU_1510,1625263,1626282,-,LacI family DNA-binding transcriptional regulator,Transcription,A0A0D3Q857,Op985
USA300HOU_RS08065,USA300HOU_RS08065,NC_010079.1,,1626283,1626537,-,hypothetical protein,No COG annotation,A0A2I7Y568,Op985
USA300HOU_RS08070,USA300HOU_RS08070,NC_010079.1,USA300HOU_1511,1626476,1626847,-,glyoxalase,Amino acid transport and metabolism,A0A0D3Q7M8,Op985
USA300HOU_RS08075,gndA,NC_010079.1,USA300HOU_1512,1627066,1628472,-,NADP-dependent phosphogluconate dehydrogenase,Carbohydrate transport and metabolism,A0A0E0VQG2,Op986
USA300HOU_RS08080,USA300HOU_RS08080,NC_010079.1,USA300HOU_1513,1628540,1629673,-,M20/M25/M40 family metallo-hydrolase,Amino acid transport and metabolism,A0A0D6HL17,Op987
USA300HOU_RS08085,prli42,NC_010079.1,USA300HOU_1514,1629936,1630115,+,stressosome-associated protein Prli42,No COG annotation,A0A0D1HLU9,Op988
USA300HOU_RS08090,USA300HOU_RS08090,NC_010079.1,USA300HOU_1515,1630242,1631222,-,aromatic acid exporter family protein,Function unknown,A0A0E1VR92,Op989
USA300HOU_RS08095,USA300HOU_RS08095,NC_010079.1,USA300HOU_1516,1631236,1631673,-,BrxA/BrxB family bacilliredoxin,Function unknown,A0A0H3KCV9,Op989
USA300HOU_RS08100,USA300HOU_RS08100,NC_010079.1,USA300HOU_1517,1632024,1633298,-,2-oxo acid dehydrogenase subunit E2,Energy production and conversion,A0A0H2XG76,Op990
USA300HOU_RS08105,USA300HOU_RS08105,NC_010079.1,USA300HOU_1518,1633311,1634294,-,alpha-ketoacid dehydrogenase subunit beta,Energy production and conversion,A0A0H2WW67,Op990
USA300HOU_RS08110,USA300HOU_RS08110,NC_010079.1,USA300HOU_1519,1634294,1635286,-,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,Energy production and conversion,A0A0D6HJM8,Op990
USA300HOU_RS08115,lpdA,NC_010079.1,USA300HOU_1520,1635302,1636723,-,dihydrolipoyl dehydrogenase,Energy production and conversion,A0A0D6H3I9,Op990
USA300HOU_RS08120,recN,NC_010079.1,USA300HOU_1521,1636874,1638553,-,DNA repair protein RecN,"Replication, recombination and repair",A0A0D3Q7N8,Op991
USA300HOU_RS08125,argR,NC_010079.1,USA300HOU_1522,1638569,1639021,-,transcriptional regulator ArgR,Transcription,A0A077VKY0,Op991
USA300HOU_RS08130,USA300HOU_RS08130,NC_010079.1,USA300HOU_1523,1639453,1640334,-,polyprenyl synthetase family protein,Coenzyme transport and metabolism,A0A0D6HLK8,Op992
USA300HOU_RS08135,USA300HOU_RS08135,NC_010079.1,USA300HOU_1524,1640312,1640542,-,exodeoxyribonuclease VII small subunit,"Replication, recombination and repair",A0A0E0VQY6,Op993
USA300HOU_RS08140,USA300HOU_RS08140,NC_010079.1,USA300HOU_1525,1640535,1641872,-,exodeoxyribonuclease VII large subunit,"Replication, recombination and repair",A0A0D1IK03,Op993
USA300HOU_RS08145,nusB,NC_010079.1,USA300HOU_1526,1641889,1642278,-,transcription antitermination factor NusB,Transcription,A0A1S5ZLG8,Op993
USA300HOU_RS08150,USA300HOU_RS08150,NC_010079.1,USA300HOU_1527,1642338,1642700,-,Asp23/Gls24 family envelope stress response protein,Function unknown,A0A0E0VQH4,Op994
USA300HOU_RS08155,accC,NC_010079.1,USA300HOU_1528,1642715,1644070,-,acetyl-CoA carboxylase biotin carboxylase subunit,Lipid transport and metabolism,A0A0E1VGU0,Op994
USA300HOU_RS08160,accB,NC_010079.1,USA300HOU_1529,1644070,1644534,-,acetyl-CoA carboxylase biotin carboxyl carrier protein,Lipid transport and metabolism,A0A0D6WDP8,Op994
USA300HOU_RS08165,efp,NC_010079.1,USA300HOU_1530,1645008,1645565,-,elongation factor P,"Translation, ribosomal structure and biogenesis",A0A0E0VQ19,Op995
USA300HOU_RS08170,USA300HOU_RS08170,NC_010079.1,USA300HOU_1531,1645591,1646652,-,aminopeptidase P family protein,Amino acid transport and metabolism,A0A0E1VGX3,Op995
USA300HOU_RS08175,USA300HOU_RS08175,NC_010079.1,USA300HOU_1532,1646757,1647338,+,hypothetical protein,No COG annotation,A0A0E1VIY6,Op996
USA300HOU_RS08180,USA300HOU_RS08180,NC_010079.1,USA300HOU_1533,1647352,1647570,+,membrane protein,No COG annotation,A0A0H2WZF3,Op996
USA300HOU_RS08185,USA300HOU_RS08185,NC_010079.1,USA300HOU_1534,1647634,1648464,-,lipoate--protein ligase family protein,Coenzyme transport and metabolism,A0A0E8GJ70,Op997
USA300HOU_RS08190,USA300HOU_RS08190,NC_010079.1,USA300HOU_1535,1648622,1649008,+,rhodanese-like domain-containing protein,Inorganic ion transport and metabolism,A0A077URK4,Op998
USA300HOU_RS08195,USA300HOU_RS08195,NC_010079.1,USA300HOU_1536,1649373,1650845,-,aminomethyl-transferring glycine dehydrogenase subunit GcvPB,Amino acid transport and metabolism,A0A0D3Q7S7,Op999
USA300HOU_RS08200,USA300HOU_RS08200,NC_010079.1,USA300HOU_1537,1650838,1652184,-,aminomethyl-transferring glycine dehydrogenase subunit GcvPA,Amino acid transport and metabolism,A0A068A8X3,Op999
USA300HOU_RS08205,gcvT,NC_010079.1,USA300HOU_1538,1652204,1653295,-,glycine cleavage system aminomethyltransferase GcvT,Amino acid transport and metabolism,A0A0E0VPD8,Op999
USA300HOU_RS08210,USA300HOU_RS08210,NC_010079.1,USA300HOU_1539,1653454,1653978,-,shikimate kinase,Nucleotide transport and metabolism,A0A0G2LTJ5,Op1000
USA300HOU_RS08215,USA300HOU_RS08215,NC_010079.1,USA300HOU_1540,1653968,1654114,-,hypothetical protein,No COG annotation,A0A0E0VQ30,Op1000
USA300HOU_RS08220,USA300HOU_RS08220,NC_010079.1,USA300HOU_1541,1654211,1654708,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H2WYW5,Op1001
USA300HOU_RS08225,USA300HOU_RS08225,NC_010079.1,USA300HOU_1542,1654626,1654946,-,hypothetical protein,No COG annotation,A0A2G4VGB4,Op1002
USA300HOU_RS08230,USA300HOU_RS08230,NC_010079.1,USA300HOU_1543,1654912,1655358,-,type II secretion system protein,Cell motility,A0A0H2XI60,Op1002
USA300HOU_RS08235,USA300HOU_RS08235,NC_010079.1,USA300HOU_1544,1655336,1655647,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0E1VGV2,Op1003
USA300HOU_RS08240,USA300HOU_RS08240,NC_010079.1,USA300HOU_1545,1655661,1656731,-,type II secretion system F family protein,Cell motility,A0A0E7KB50,Op1003
USA300HOU_RS08245,USA300HOU_RS08245,NC_010079.1,USA300HOU_1546,1656703,1657677,-,type II/IV secretion system protein,Cell motility,A0A0D3Q868,Op1004
USA300HOU_RS08250,USA300HOU_RS08250,NC_010079.1,USA300HOU_1547,1657729,1658352,-,MBL fold metallo-hydrolase,Function unknown,A0A0D1GCF8,Op1005
USA300HOU_RS08255,USA300HOU_RS08255,NC_010079.1,USA300HOU_1548,1658349,1658678,-,MTH1187 family thiamine-binding protein,Function unknown,A0A0E0VPE8,Op1005
USA300HOU_RS08260,USA300HOU_RS08260,NC_010079.1,USA300HOU_1549,1658678,1659664,-,ROK family glucokinase,Carbohydrate transport and metabolism,A0A0E1VGV6,Op1005
USA300HOU_RS08265,USA300HOU_RS08265,NC_010079.1,USA300HOU_1550,1659661,1659864,-,YqgQ family protein,Function unknown,A0A0E1VJ30,Op1005
USA300HOU_RS08270,USA300HOU_RS08270,NC_010079.1,USA300HOU_1551,1659845,1661308,-,rhomboid family intramembrane serine protease,Function unknown,A0A0H2WZV1,Op1005
USA300HOU_RS08275,USA300HOU_RS08275,NC_010079.1,USA300HOU_1552,1661320,1661859,-,5-formyltetrahydrofolate cyclo-ligase,Coenzyme transport and metabolism,A0A0H2WYX4,Op1005
USA300HOU_RS08280,rpmG,NC_010079.1,USA300HOU_1553,1662068,1662217,-,50S ribosomal protein L33,"Translation, ribosomal structure and biogenesis",A0A077UXT4,Op1006
USA300HOU_RS08285,USA300HOU_RS08285,NC_010079.1,USA300HOU_1554,1662330,1664405,-,penicillin-binding protein 2,Cell wall/membrane/envelope biogenesis,A0A0H2XJ39,Op1007
USA300HOU_RS08290,USA300HOU_RS08290,NC_010079.1,USA300HOU_1555,1664526,1665125,-,superoxide dismutase,Energy production and conversion,A0A0D1GRH1,Op1008
USA300HOU_RS08295,USA300HOU_RS08295,NC_010079.1,USA300HOU_1556,1665402,1665812,-,transcriptional repressor,Inorganic ion transport and metabolism,A0A0E0VP81,Op1009
USA300HOU_RS08300,USA300HOU_RS08300,NC_010079.1,USA300HOU_1557,1665799,1666662,-,metal ABC transporter permease,Inorganic ion transport and metabolism,A0A0D1H5I2,Op1009
USA300HOU_RS08305,USA300HOU_RS08305,NC_010079.1,USA300HOU_1558,1666704,1667489,-,metal ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E0VPF8,Op1010
USA300HOU_RS08310,USA300HOU_RS08310,NC_010079.1,USA300HOU_1559,1667615,1668505,-,deoxyribonuclease IV,"Replication, recombination and repair",A6QHA0,Op1011
USA300HOU_RS08315,USA300HOU_RS08315,NC_010079.1,USA300HOU_1560,1668515,1669861,-,DEAD/DEAH box helicase,"Translation, ribosomal structure and biogenesis",A0A0D6H514,Op1011
USA300HOU_RS08320,USA300HOU_RS08320,NC_010079.1,USA300HOU_1561,1669975,1671075,-,Nif3-like dinuclear metal center hexameric protein,Function unknown,A0A0D6HKX3,Op1012
USA300HOU_RS08325,USA300HOU_RS08325,NC_010079.1,USA300HOU_1562,1671078,1671755,-,tRNA (adenine-N(1))-methyltransferase,Function unknown,A0A0D6HIR7,Op1012
USA300HOU_RS08330,rpoD,NC_010079.1,USA300HOU_1563,1671886,1672992,-,RNA polymerase sigma factor RpoD,Transcription,A0A077VYC4,Op1013
USA300HOU_RS08335,USA300HOU_RS08335,NC_010079.1,USA300HOU_1564,1673216,1675015,-,DNA primase,"Replication, recombination and repair",A0A0D6HKV2,Op1014
USA300HOU_RS08340,USA300HOU_RS08340,NC_010079.1,USA300HOU_1565,1675076,1675894,-,kinase/pyrophosphorylase,Nucleotide transport and metabolism,A0A0D6HK08,Op1015
USA300HOU_RS08345,USA300HOU_RS08345,NC_010079.1,,1675905,1676528,-,helix-turn-helix transcriptional regulator,Transcription,A0A2Y9TQL5,Op1015
USA300HOU_RS08350,USA300HOU_RS08350,NC_010079.1,USA300HOU_1566,1676863,1678254,+,glycine--tRNA ligase,"Translation, ribosomal structure and biogenesis",A0A0D1HXC4,Op1016
USA300HOU_RS08355,recO,NC_010079.1,USA300HOU_1567,1678404,1679150,-,DNA repair protein RecO,"Replication, recombination and repair",A0A0D6HIY4,Op1017
USA300HOU_RS08360,USA300HOU_RS08360,NC_010079.1,USA300HOU_1568,1679178,1680077,-,GTPase Era,Function unknown,A0A0E0VR32,Op1017
USA300HOU_RS08365,cdd,NC_010079.1,USA300HOU_1569,1680078,1680482,-,cytidine deaminase,Nucleotide transport and metabolism,A0A0E1VJ45,Op1017
USA300HOU_RS08370,USA300HOU_RS08370,NC_010079.1,USA300HOU_1570,1680493,1680837,-,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,A0A0D1H2F6,Op1017
USA300HOU_RS08375,ybeY,NC_010079.1,USA300HOU_1571,1680840,1681307,-,rRNA maturation RNase YbeY,"Translation, ribosomal structure and biogenesis",A5IT98,Op1017
USA300HOU_RS08380,USA300HOU_RS08380,NC_010079.1,USA300HOU_1572,1681308,1682255,-,PhoH family protein,Signal transduction mechanisms,A0A0E1VJ23,Op1017
USA300HOU_RS08385,USA300HOU_RS08385,NC_010079.1,USA300HOU_1573,1682559,1683257,-,hypothetical protein,No COG annotation,A0A0E0VR37,Op1018
USA300HOU_RS08390,floA,NC_010079.1,USA300HOU_1574,1683274,1684263,-,flotillin-like protein FloA,Function unknown,A0A077ULD8,Op1018
USA300HOU_RS08395,USA300HOU_RS08395,NC_010079.1,USA300HOU_1575,1684281,1684964,-,hypothetical protein,"PostXtranslational modification, protein turnover, and chaperones",A0A0H2XE66,Op1018
